date,CA,TX,WI,CA_1,CA_2,CA_3,CA_4,TX_1,TX_2,TX_3,WI_1,WI_2,WI_3,total
2011-11-07,11987,6793,6408,3318,2128,4960,1581,1989,2609,2195,1397,1616,3395,25188
2011-11-08,11442,8143,6507,2780,1992,4883,1787,2340,2958,2845,1316,1515,3676,26092
2011-11-09,12375,7213,6559,3277,2221,5161,1716,1998,2922,2293,1554,1751,3254,26147
2011-11-10,13522,8425,7808,3858,2812,4972,1880,2260,3372,2793,1931,1739,4138,29755
2011-11-11,15332,10782,9808,4292,3454,5570,2016,3249,4340,3193,2349,2309,5150,35922
2011-11-12,15584,11654,8110,4150,3440,6110,1884,3464,4551,3639,1858,1737,4515,35348
2011-11-13,11665,8462,6646,3035,2204,4686,1740,2434,3089,2939,1415,1801,3430,26773
2011-11-14,10860,8414,7427,2707,1975,4380,1798,2471,3155,2788,1470,1907,4050,26701
2011-11-15,10281,7426,6221,2495,2081,4126,1579,2071,2870,2485,1655,1489,3077,23928
2011-11-16,10244,7206,5664,2388,2171,4050,1635,2127,3000,2079,1152,1584,2928,23114
2011-11-17,12106,7601,6800,3012,2459,4881,1754,2204,2973,2424,1845,1628,3327,26507
2011-11-18,16144,9488,7913,4681,3413,6031,2019,2643,3898,2947,2026,1827,4060,33545
2011-11-19,15546,10141,7066,4415,3280,5812,2039,2901,3991,3249,1651,1450,3965,32753
2011-11-20,12213,7925,5436,3209,2303,4780,1921,2043,3185,2697,1411,1315,2710,25574
2011-11-21,12047,7813,5794,3637,2268,4520,1622,2182,3200,2431,1586,1334,2874,25654
2011-11-22,13587,10465,6735,3663,2582,5311,2031,3018,3976,3471,1567,1649,3519,30787
2011-11-23,7356,7361,3710,1941,1155,3130,1130,2268,3131,1962,620,682,2408,18427
2011-11-24,10726,6790,6482,3162,2490,3768,1306,1996,2602,2192,1900,1699,2883,23998
2011-11-25,11762,6923,6607,3077,2792,4275,1618,1909,2696,2318,2147,1566,2894,25292
2011-11-26,12714,8050,6370,3341,2677,4747,1949,2321,3284,2445,1749,1523,3098,27134
2011-11-27,10501,6342,5535,2514,2215,3957,1815,1922,2472,1948,1442,1512,2581,22378
2011-11-28,9993,6305,5286,2628,2004,3771,1590,1778,2470,2057,1352,1324,2610,21584
2011-11-29,9455,6314,5320,2412,2015,3614,1414,1840,2616,1858,1483,1411,2426,21089
2011-11-30,11572,8053,6643,2699,2163,4944,1766,2361,3072,2620,1654,2076,2913,26268
2011-12-01,13326,7741,8660,3504,2503,5237,2082,2241,3052,2448,1930,2141,4589,29727
2011-12-02,17353,10618,10158,4832,3853,6284,2384,3239,4187,3192,2407,2537,5214,38129
2011-12-03,16724,10136,8218,4632,3267,6616,2209,2920,3973,3243,1960,1913,4345,35078
2011-12-04,13173,8415,7632,3367,2354,5745,1707,2464,3254,2697,1859,1836,3937,29220
2011-12-05,11773,8357,7137,2960,2152,4937,1724,2339,3430,2588,1556,1800,3781,27267
2011-12-06,11594,7850,6009,2889,2068,4840,1797,2325,3107,2418,1557,1396,3056,25453
2011-12-07,12133,6701,7513,3331,2342,4719,1741,1922,2811,1968,1562,1943,4008,26347
2011-12-08,12985,8401,8052,3435,2611,5039,1900,2617,3408,2376,1814,1788,4450,29438
2011-12-09,16330,9205,9251,4575,3500,6266,1989,2671,3701,2833,2308,2135,4808,34786
2011-12-10,15956,11283,8504,4312,3185,6138,2321,3589,4225,3469,1687,1985,4832,35743
2011-12-11,12691,9194,7266,3267,2373,5216,1835,2610,3565,3019,1444,1813,4009,29151
2011-12-12,11733,8881,6299,2946,2320,4831,1636,2571,3665,2645,1516,1625,3158,26913
2011-12-13,10962,8557,7275,2871,2318,4314,1459,2496,3428,2633,1445,1888,3942,26794
2011-12-14,12215,9558,7871,3109,2476,4906,1724,2841,3807,2910,1577,2276,4018,29644
2011-12-15,12697,8521,7667,3399,2465,4980,1853,2563,3496,2462,1866,1810,3991,28885
2011-12-16,15522,9998,8639,4463,3494,5648,1917,3111,4000,2887,2315,2133,4191,34159
2011-12-17,15434,9351,7302,4253,3430,5573,2178,2659,3745,2947,1787,1653,3862,32087
2011-12-18,12610,8011,6447,3333,2387,4973,1917,2208,3174,2629,1744,1616,3087,27068
2011-12-19,12023,7657,6582,3236,2549,4424,1814,2216,3048,2393,1848,1709,3025,26262
2011-12-20,12182,8174,6306,3367,2774,4347,1694,2410,3295,2469,1750,1654,2902,26662
2011-12-21,12706,8596,6880,3609,2608,4639,1850,2391,3558,2647,1850,1824,3206,28182
2011-12-22,15765,10177,8704,4652,3026,5820,2267,2963,4254,2960,2262,2149,4293,34646
2011-12-23,12557,9803,7598,3454,2431,4753,1919,3041,3611,3151,1658,1933,4007,29958
2011-12-24,8,2,3,0,7,1,0,0,0,2,0,3,0,13
2011-12-25,12390,9044,6598,3335,2653,4998,1404,2766,3419,2859,1576,1544,3478,28032
2011-12-26,11775,7274,5602,3111,2439,4530,1695,2087,3033,2154,1439,1393,2770,24651
2011-12-27,11737,7294,5760,3097,2271,4745,1624,2119,3066,2109,1603,1333,2824,24791
2011-12-28,11761,7139,5641,3233,2505,4511,1512,2090,2859,2190,1540,1537,2564,24541
2011-12-29,15763,9371,8518,4638,3136,6115,1874,2662,3784,2925,2076,2314,4128,33652
2011-12-30,14365,10491,8895,4236,2548,5535,2046,2933,4142,3416,2254,2176,4465,33751
2011-12-31,10218,7224,4365,2648,2174,3978,1418,2420,2773,2031,1114,1148,2103,21807
2012-01-01,15152,9307,8594,3931,2987,6199,2035,2745,3722,2840,1802,2086,4706,33053
2012-01-02,12740,8345,7666,3496,2036,5371,1837,2440,3372,2533,1530,1897,4239,28751
2012-01-03,11512,7530,6779,3284,1852,4878,1498,2223,2827,2480,1606,1831,3342,25821
2012-01-04,12283,8558,7658,3444,2040,5021,1778,2470,3336,2752,1576,1992,4090,28499
2012-01-05,12809,9197,8399,3854,2506,4696,1753,2899,3603,2695,1983,2080,4336,30405
2012-01-06,16634,11191,9318,4670,3368,6384,2212,3399,4555,3237,2362,2209,4747,37143
2012-01-07,17261,10981,8480,4585,3234,7124,2318,3392,4409,3180,1753,1838,4889,36722
2012-01-08,13418,7173,7615,3637,2257,5679,1845,2130,2813,2230,1451,1948,4216,28206
2012-01-09,12192,7940,6508,3217,1990,5392,1593,2284,3304,2352,1477,1642,3389,26640
2012-01-10,11470,8551,9023,2994,2062,4590,1824,2550,3272,2729,1908,2214,4901,29044
2012-01-11,10549,7901,6265,2655,2066,4163,1665,2277,3086,2538,946,2001,3318,24715
2012-01-12,13098,9508,6857,3550,2509,5193,1846,2814,4004,2690,1581,1678,3598,29463
2012-01-13,15748,10482,10585,4271,3381,5904,2192,2976,4355,3151,2368,2380,5837,36815
2012-01-14,15729,11336,9394,4111,3187,5993,2438,3361,4460,3515,1780,2042,5572,36459
2012-01-15,14013,9018,7517,3670,2666,5546,2131,2769,3591,2658,1668,1815,4034,30548
2012-01-16,10525,6925,4737,2824,1893,4234,1574,1874,2767,2284,934,1213,2590,22187
2012-01-17,11172,7249,6927,2729,2097,4538,1808,2127,2727,2395,1733,1716,3478,25348
2012-01-18,10689,7069,6276,2782,2020,4255,1632,2167,2720,2182,1528,1700,3048,24034
2012-01-19,12202,8441,6561,3153,2401,4825,1823,2380,3546,2515,1429,2015,3117,27204
2012-01-20,18418,10606,9554,5107,4045,6786,2480,3177,4427,3002,2661,2122,4771,38578
2012-01-21,14539,10434,7614,3965,2690,5837,2047,2878,4406,3150,1909,1955,3750,32587
2012-01-22,11365,7619,5718,2678,2029,4856,1802,2123,3152,2344,1348,1537,2833,24702
2012-01-23,11109,6593,5847,2571,2125,4732,1681,1790,2787,2016,1584,1595,2668,23549
2012-01-24,10622,6163,5623,2460,2034,4329,1799,1739,2598,1826,1455,1575,2593,22408
2012-01-25,10471,6757,6009,2680,2124,4004,1663,1918,2775,2064,1529,1834,2646,23237
2012-01-26,12353,7920,6926,3444,2451,4654,1804,2295,3243,2382,1766,1923,3237,27199
2012-01-27,15406,10189,8767,4241,3801,5101,2263,2722,4429,3038,2373,2394,4000,34362
2012-01-28,16101,10428,7048,4147,3527,6123,2304,2921,4178,3329,1726,1753,3569,33577
2012-01-29,11745,7645,5798,2889,2064,4875,1917,2206,3232,2207,1513,1750,2535,25188
2012-01-30,11836,7136,6152,2892,2170,5016,1758,1982,2814,2340,1508,1717,2927,25124
2012-01-31,12931,9481,7439,3205,2295,5600,1831,2910,3733,2838,1733,2168,3538,29851
2012-02-01,12804,7708,8103,3409,2150,5160,2085,2268,2961,2479,1464,2335,4304,28615
2012-02-02,15263,9950,9891,4269,2675,6193,2126,2852,4036,3062,2136,2513,5242,35104
2012-02-03,20129,12224,10676,5786,3959,7762,2622,3362,5120,3742,2771,2552,5353,43029
2012-02-04,17149,13255,9671,4783,3176,6911,2279,3784,5341,4130,1946,2534,5191,40075
2012-02-05,13798,9108,7775,3638,2251,5932,1977,2542,3610,2956,1468,2142,4165,30681
2012-02-06,12785,8889,6434,3159,2163,5616,1847,2535,3573,2781,1494,1769,3171,28108
2012-02-07,12568,8174,7837,3041,2164,5498,1865,2360,3216,2598,1509,2069,4259,28579
2012-02-08,12783,8329,8815,3034,2440,5501,1808,2528,3350,2451,1646,2519,4650,29927
2012-02-09,14425,8128,7310,3516,2671,6108,2130,2253,3365,2510,1605,2083,3622,29863
2012-02-10,19661,11675,10421,5463,3959,7794,2445,3181,5212,3282,2534,2405,5482,41757
2012-02-11,18559,12585,10760,5230,3776,7095,2458,3664,5101,3820,2250,2737,5773,41904
2012-02-12,13954,10394,7327,3674,2394,5849,2037,2901,4359,3134,1567,1987,3773,31675
2012-02-13,10417,8084,6599,2603,1884,4383,1547,2359,3291,2434,1453,1746,3400,25100
2012-02-14,10994,8240,7644,2669,1975,4818,1532,2457,3463,2320,1630,1879,4135,26878
2012-02-15,10984,7754,6457,2832,2004,4582,1566,2130,3139,2485,1640,1663,3154,25195
2012-02-16,12922,7653,7029,3311,2524,5317,1770,2044,3095,2514,1792,1886,3351,27604
2012-02-17,16872,10383,9367,4534,3714,6515,2109,2886,4423,3074,2461,2146,4760,36622
2012-02-18,16159,11747,8432,4535,3351,6185,2088,3487,5083,3177,2133,1869,4430,36338
2012-02-19,15012,8907,6299,3721,2714,6662,1915,2792,3425,2690,1442,1595,3262,30218
2012-02-20,11695,7529,5966,2823,2003,5148,1721,2138,3147,2244,1510,1573,2883,25190
2012-02-21,10847,7091,6177,2774,2224,4351,1498,2230,2881,1980,1679,1692,2806,24115
2012-02-22,11506,7423,6282,2798,2366,4703,1639,2401,3005,2017,1630,1689,2963,25211
2012-02-23,13707,7914,6249,3280,2840,5800,1787,2528,3165,2221,1634,1713,2902,27870
2012-02-24,16555,9801,9413,4806,3550,6164,2035,2743,4248,2810,2806,2216,4391,35769
2012-02-25,16642,11486,8153,4430,3365,6784,2063,3234,4886,3366,2253,1926,3974,36281
2012-02-26,12306,8578,6386,2998,2212,5286,1810,2322,3550,2706,1631,1672,3083,27270
2012-02-27,10826,7474,6059,2707,1942,4514,1663,2157,3022,2295,1500,1590,2969,24359
2012-02-28,11237,7570,5995,2915,2216,4424,1682,2155,3156,2259,1621,1736,2638,24802
2012-02-29,13345,9398,7489,3603,2452,5580,1710,2731,3752,2915,1817,2061,3611,30232
2012-03-01,15070,9186,8287,4025,2955,6121,1969,2674,3631,2881,1727,2408,4152,32543
2012-03-02,18599,11479,11241,5123,3850,7392,2234,3161,4998,3320,2503,2717,6021,41319
2012-03-03,19659,11556,9110,5165,3746,8245,2503,3471,4612,3473,2100,2089,4921,40325
2012-03-04,14495,10091,8117,3893,2306,6450,1846,2810,4367,2914,1607,2192,4318,32703
2012-03-05,13714,9198,8620,3398,2392,5952,1972,2566,3749,2883,1579,2239,4802,31532
2012-03-06,13444,8623,6541,3541,2282,5621,2000,2362,3572,2689,1488,1496,3557,28608
2012-03-07,13510,8320,7929,3392,2400,5892,1826,2454,3340,2526,1692,1933,4304,29759
2012-03-08,14999,8464,8859,3786,2999,6139,2075,2469,3503,2492,1948,1889,5022,32322
2012-03-09,18693,11508,9358,5354,4000,7050,2289,3350,4693,3465,2361,2042,4955,39559
2012-03-10,19895,11973,8744,5502,3997,7672,2724,3400,4928,3645,2020,1827,4897,40612
2012-03-11,14208,10659,7634,3643,2417,6361,1787,3261,4191,3207,1623,1723,4288,32501
2012-03-12,12027,10424,6649,2836,2025,5476,1690,2997,4386,3041,1691,1533,3425,29100
2012-03-13,11442,9328,7071,2821,1987,5045,1589,2826,3796,2706,1451,1669,3951,27841
2012-03-14,12217,10192,8343,3161,2341,4964,1751,3005,4312,2875,1774,2146,4423,30752
2012-03-15,13203,9867,7881,3737,2358,5107,2001,2964,4073,2830,2069,1679,4133,30951
2012-03-16,18035,10571,9298,4718,4287,6773,2257,2982,4314,3275,2584,1851,4863,37904
2012-03-17,17657,11908,8129,4966,3674,6983,2034,3599,4824,3485,2054,1885,4190,37694
2012-03-18,13338,9190,6659,3621,2553,5302,1862,2506,3594,3090,1535,1720,3404,29187
2012-03-19,11847,7490,6196,2939,2243,5033,1632,2359,2973,2158,1586,1369,3241,25533
2012-03-20,11486,8107,6634,2764,2063,4909,1750,2454,3292,2361,1808,1575,3251,26227
2012-03-21,11851,8128,6036,3103,2187,4885,1676,2389,3280,2459,1722,1375,2939,26015
2012-03-22,13339,8995,6721,3414,2998,5082,1845,2587,3792,2616,1792,1445,3484,29055
2012-03-23,16871,11133,9085,5211,3462,6117,2081,3103,4826,3204,2556,2032,4497,37089
2012-03-24,18402,11664,7777,5240,3497,7209,2456,3383,4834,3447,2003,1775,3999,37843
2012-03-25,12909,8595,5678,3167,2359,5463,1920,2480,3549,2566,1239,1374,3065,27182
2012-03-26,10868,7899,5882,2889,2079,4239,1661,2175,3219,2505,1572,1528,2782,24649
2012-03-27,11820,7311,5652,2768,2417,4771,1864,2161,2932,2218,1590,1449,2613,24783
2012-03-28,10902,7304,5673,2625,2267,4415,1595,2123,2918,2263,1554,1517,2602,23879
2012-03-29,14468,9012,7252,4255,2703,5549,1961,2582,3732,2698,1900,1893,3459,30732
2012-03-30,17706,11017,9740,4902,3705,6413,2686,2956,4861,3200,2688,2384,4668,38463
2012-03-31,18364,13427,7992,5181,3757,6959,2467,3927,5636,3864,2032,1827,4133,39783
2012-04-01,14409,8717,8233,3825,2509,6008,2067,2442,3539,2736,1609,1986,4638,31359
2012-04-02,14685,10213,8135,4005,2635,6124,1921,3349,3831,3033,1658,2151,4326,33033
2012-04-03,13210,8372,6736,3493,2423,5300,1994,2494,3411,2467,1548,1736,3452,28318
2012-04-04,14080,9582,7706,3973,2441,5677,1989,2984,3681,2917,1666,1836,4204,31368
2012-04-05,16567,11741,9237,5085,2904,6341,2237,3585,4856,3300,2274,2184,4779,37545
2012-04-06,21332,14331,9975,6035,4306,8069,2922,4307,5775,4249,2922,2029,5024,45638
2012-04-07,16717,12377,7116,3962,3506,6992,2257,4292,4896,3189,1516,1448,4152,36210
2012-04-08,14798,9553,7642,3984,2499,6250,2065,2786,3946,2821,1626,1901,4115,31993
2012-04-09,13265,8757,6778,3859,2105,5565,1736,2483,3858,2416,1674,1762,3342,28800
2012-04-10,12768,9372,7435,3310,2467,5225,1766,2883,3798,2691,1588,1788,4059,29575
2012-04-11,11970,8998,7600,3293,2452,4662,1563,2769,3486,2743,1720,1756,4124,28568
2012-04-12,13809,10255,7874,4136,2722,5106,1845,3131,4182,2942,2111,1725,4038,31938
2012-04-13,17340,11717,9489,5114,3791,6165,2270,3529,4956,3232,2214,1970,5305,38546
2012-04-14,16661,13304,8742,4950,3603,5851,2257,3993,5435,3876,1967,1798,4977,38707
2012-04-15,12652,8285,6735,3279,2362,5119,1892,2633,3321,2331,1485,1599,3651,27672
2012-04-16,11179,8696,6192,2784,2000,4775,1620,2777,3389,2530,1525,1419,3248,26067
2012-04-17,11358,7849,5492,2764,2238,4547,1809,2378,3312,2159,1316,1316,2860,24699
2012-04-18,11805,8022,4997,3330,2194,4488,1793,2413,3338,2271,1212,1256,2529,24824
2012-04-19,13739,7946,6458,4124,2675,5065,1875,2133,3477,2336,1807,1595,3056,28143
2012-04-20,17336,10893,8479,5027,3888,6187,2234,3237,4741,2915,2377,1706,4396,36708
2012-04-21,17793,11660,7311,5179,3552,6767,2295,3600,4701,3359,1987,1543,3781,36764
2012-04-22,12217,8879,5574,2968,2374,4991,1884,2789,3351,2739,1558,1140,2876,26670
2012-04-23,11545,7727,5576,3032,2287,4334,1892,2635,2963,2129,1525,1283,2768,24848
2012-04-24,11052,7873,5523,2851,2127,4393,1681,2535,2944,2394,1405,1154,2964,24448
2012-04-25,11014,7832,5684,3003,2194,4141,1676,2379,3153,2300,1645,1264,2775,24530
2012-04-26,13571,8572,6834,3820,3001,4734,2016,2426,3730,2416,1944,1426,3464,28977
2012-04-27,16121,10820,8706,4754,3570,5781,2016,3533,4431,2856,2606,1864,4236,35647
2012-04-28,16904,11736,7484,4856,3546,6283,2219,3490,5027,3219,2039,1457,3988,36124
2012-04-29,12736,8617,6003,3353,2477,4853,2053,2648,3442,2527,1616,1329,3058,27356
2012-04-30,13593,9577,7120,3605,2540,5534,1914,3102,3603,2872,1699,1686,3735,30290
2012-05-01,12967,8471,7801,3514,2464,5282,1707,2616,3342,2513,1654,1568,4579,29239
2012-05-02,14081,10032,8846,3981,2463,5646,1991,3030,4167,2835,1927,1968,4951,32959
2012-05-03,14797,9702,8433,4168,3149,5477,2003,2915,3863,2924,2133,1866,4434,32932
2012-05-04,16234,12783,10184,4457,3634,5889,2254,4154,5050,3579,2389,2254,5541,39201
2012-05-05,18559,13623,9347,5695,3998,6403,2463,4429,5615,3579,1869,2131,5347,41529
2012-05-06,15317,11079,7081,4326,2600,6444,1947,3389,4434,3256,1445,1742,3894,33477
2012-05-07,14245,8512,7676,3577,2530,6187,1951,2592,3438,2482,1545,1938,4193,30433
2012-05-08,13234,9165,7805,3501,2393,5455,1885,2554,3953,2658,1467,2063,4275,30204
2012-05-09,13339,8095,6730,3735,2407,5380,1817,2566,3195,2334,1546,1809,3375,28164
2012-05-10,14784,9271,8759,4293,2916,5521,2054,2835,3743,2693,1878,2156,4725,32814
2012-05-11,17860,12271,10741,5546,3609,6575,2130,3714,4953,3604,2369,2324,6048,40872
2012-05-12,14807,11677,7285,4390,3166,5418,1833,3651,4766,3260,1757,1376,4152,33769
2012-05-13,13120,9793,8670,3397,2288,5483,1952,2883,4062,2848,1450,2018,5202,31583
2012-05-14,13144,9832,8782,3429,2380,5273,2062,2874,4082,2876,1633,2345,4804,31758
2012-05-15,12590,8694,7393,3570,2369,4752,1899,2576,3433,2685,1771,1999,3623,28677
2012-05-16,12219,8195,6909,3339,2327,4772,1781,2421,3197,2577,1717,1679,3513,27323
2012-05-17,14797,9440,8074,4107,2871,5615,2204,2723,3842,2875,1831,2090,4153,32311
2012-05-18,17400,11211,9318,4904,4066,6325,2105,3384,4623,3204,2386,2139,4793,37929
2012-05-19,18147,12453,8914,5477,3717,6471,2482,3891,4940,3622,2068,2025,4821,39514
2012-05-20,13282,8744,6779,3583,2079,5542,2078,2541,3466,2737,1718,1718,3343,28805
2012-05-21,11964,8943,6595,2713,2391,5158,1702,2570,3397,2976,1811,1682,3102,27502
2012-05-22,11560,8299,6764,2852,2230,4788,1690,2440,3366,2493,1673,1897,3194,26623
2012-05-23,12118,8841,7004,3272,2264,4774,1808,2708,3614,2519,1746,1834,3424,27963
2012-05-24,14411,9786,8600,4120,2783,5567,1941,2632,4104,3050,2119,2519,3962,32797
2012-05-25,15753,11905,9581,4700,3303,5647,2103,3444,5175,3286,2405,2560,4616,37239
2012-05-26,14766,11382,7705,4572,3164,5273,1757,3500,4692,3190,1841,2069,3795,33853
2012-05-27,14997,11254,7156,4070,3278,5588,2061,3344,4732,3178,1633,2010,3513,33407
2012-05-28,12934,9172,6514,3277,2409,5033,2215,2808,3636,2728,1594,1804,3116,28620
2012-05-29,12078,8441,6631,2977,2239,5055,1807,2578,3388,2475,1517,2145,2969,27150
2012-05-30,13501,8090,7218,3546,2687,5189,2079,2258,3383,2449,1872,2487,2859,28809
2012-05-31,16806,12246,10477,4575,3244,6874,2113,3569,4735,3942,2421,3551,4505,39529
2012-06-01,19460,12716,12767,5652,4165,7155,2488,3626,5148,3942,2413,4289,6065,44943
2012-06-02,19136,13271,11503,5336,3703,7322,2775,3907,5374,3990,2165,3629,5709,43910
2012-06-03,14681,10216,8397,3993,2514,6243,1931,2979,4098,3139,1534,2664,4199,33294
2012-06-04,14299,10210,9497,3772,2408,6080,2039,2972,4179,3059,1740,3578,4179,34006
2012-06-05,13663,10184,9740,3558,2337,5698,2070,3133,4070,2981,1647,3683,4410,33587
2012-06-06,14102,10584,7849,3724,2338,6014,2026,3054,4446,3084,1714,2571,3564,32535
2012-06-07,15783,10007,11111,4448,3066,6173,2096,2935,4284,2788,2372,3532,5207,36901
2012-06-08,17841,12964,12504,4946,3501,7035,2359,3515,5383,4066,2359,4226,5919,43309
2012-06-09,20274,13861,10809,5484,4081,8064,2645,4061,5707,4093,2121,3516,5172,44944
2012-06-10,16775,12000,10861,4310,3001,7092,2372,3497,5002,3501,1895,3919,5047,39636
2012-06-11,14676,10051,10347,3845,2915,5999,1917,3196,4050,2805,2034,4013,4300,35074
2012-06-12,13940,10428,8562,3734,2799,5454,1953,2935,4179,3314,1857,2983,3722,32930
2012-06-13,14393,9470,9919,3838,2773,5816,1966,2749,3696,3025,1822,3180,4917,33782
2012-06-14,17087,12276,12435,4683,3605,6588,2211,3822,4812,3642,2613,4055,5767,41798
2012-06-15,19531,13073,11834,5587,4044,7331,2569,3658,5497,3918,2861,3638,5335,44438
2012-06-16,17345,12530,9164,4618,3711,6872,2144,3771,4987,3772,1944,2563,4657,39039
2012-06-17,15141,10337,8622,3740,3000,6379,2022,3270,4031,3036,1969,2698,3955,34100
2012-06-18,14078,8837,9052,3486,2663,5838,2091,2578,3861,2398,2109,2759,4184,31967
2012-06-19,13617,9277,8574,3427,2691,5697,1802,2752,3844,2681,2092,2720,3762,31468
2012-06-20,13504,8936,8324,3580,2809,5133,1982,2673,3569,2694,1961,2645,3718,30764
2012-06-21,16055,10678,9744,4760,3390,5896,2009,3076,4314,3288,2471,2987,4286,36477
2012-06-22,17793,12009,10208,4891,3889,6975,2038,3430,4857,3722,2336,3269,4603,40010
2012-06-23,18336,12518,9655,5226,3769,7095,2246,3647,4984,3887,2048,3016,4591,40509
2012-06-24,13793,10251,7803,3654,2634,5574,1931,2936,4136,3179,1676,2588,3539,31847
2012-06-25,12368,9153,7850,3181,2265,5021,1901,2527,3679,2947,1842,2604,3404,29371
2012-06-26,12521,8784,7580,3253,2398,5025,1845,2506,3599,2679,1937,2438,3205,28885
2012-06-27,13366,8339,7880,3555,2566,5244,2001,2075,3646,2618,1809,2720,3351,29585
2012-06-28,15521,10385,10471,4280,3372,5745,2124,2922,4305,3158,2326,3409,4736,36377
2012-06-29,17961,11189,11444,5356,3883,6425,2297,3075,4637,3477,2635,3719,5090,40594
2012-06-30,18577,12257,9865,5548,3790,6924,2315,4031,4772,3454,2091,3175,4599,40699
2012-07-01,15238,9544,11081,4155,2689,6482,1912,2705,4055,2784,1844,4074,5163,35863
2012-07-02,16147,10825,12570,4609,2852,6616,2070,3255,4312,3258,2121,4639,5810,39542
2012-07-03,13944,9860,8852,3497,2721,5978,1748,2913,4052,2895,1735,2894,4223,32656
2012-07-04,13675,9626,11107,3455,2700,5773,1747,2690,4022,2914,1979,4188,4940,34408
2012-07-05,16184,11319,12488,4426,3130,6620,2008,3381,4434,3504,2060,4502,5926,39991
2012-07-06,17614,12879,10938,4784,3581,7254,1995,3984,5217,3678,2233,3707,4998,41431
2012-07-07,19172,11795,11705,5481,3541,7683,2467,3478,4720,3597,2282,4143,5280,42672
2012-07-08,15720,9576,10474,4280,2608,6556,2276,2928,3765,2883,1762,3876,4836,35770
2012-07-09,15098,8763,8726,3947,2781,6267,2103,2417,3464,2882,1914,2792,4020,32587
2012-07-10,13924,9426,9722,3678,2529,5657,2060,2859,3816,2751,1745,3702,4275,33072
2012-07-11,13841,9163,10073,3778,2711,5507,1845,2772,3510,2881,1640,3762,4671,33077
2012-07-12,15643,10867,10072,4322,3298,6008,2015,3242,4196,3429,2106,3273,4693,36582
2012-07-13,17819,12206,12323,4912,3917,6782,2208,3541,5151,3514,2511,4476,5336,42348
2012-07-14,18103,13205,12381,4954,3784,7000,2365,4078,5322,3805,1881,4736,5764,43689
2012-07-15,14147,9364,9509,3583,2691,6062,1811,2673,3859,2832,1627,3498,4384,33020
2012-07-16,13532,8462,8424,3493,2557,5623,1859,2679,3230,2553,1637,2947,3840,30418
2012-07-17,12834,8374,7708,3285,2581,5218,1750,2358,3353,2663,1766,2629,3313,28916
2012-07-18,14045,9051,7768,3491,2902,5487,2165,2556,3783,2712,1681,2745,3342,30864
2012-07-19,15803,10581,9018,4488,3061,5981,2273,2869,4460,3252,2155,2847,4016,35402
2012-07-20,17811,11633,10100,5011,3784,6703,2313,3290,4841,3502,2439,3301,4360,39544
2012-07-21,18734,12342,8876,5301,3713,7293,2427,3670,4930,3742,1908,2926,4042,39952
2012-07-22,14194,8742,7928,3560,2686,5881,2067,2458,3480,2804,1445,2895,3588,30864
2012-07-23,13219,8656,7604,3255,2773,5467,1724,2366,3574,2716,1639,2679,3286,29479
2012-07-24,12805,8142,7407,3182,2516,5202,1905,2168,3533,2441,1597,2654,3156,28354
2012-07-25,13096,8255,7187,3575,2512,5113,1896,2365,3367,2523,1551,2482,3154,28538
2012-07-26,14101,9333,8406,3750,2887,5596,1868,2578,3944,2811,1915,3098,3393,31840
2012-07-27,15373,10809,8406,3971,3486,5939,1977,2838,4609,3362,2057,2626,3723,34588
2012-07-28,16011,11602,8534,4161,3499,6309,2042,3302,4729,3571,1786,2795,3953,36147
2012-07-29,12750,8683,7500,3406,2320,5147,1877,2569,3346,2768,1692,2468,3340,28933
2012-07-30,13568,8606,7357,3401,2651,5486,2030,2302,3527,2777,1707,2673,2977,29531
2012-07-31,14121,10608,9241,3819,2651,5846,1805,3020,4279,3309,1832,3559,3850,33970
2012-08-01,15275,9864,10121,4307,2751,6270,1947,2689,3899,3276,1675,4109,4337,35260
2012-08-02,16593,11185,11733,4470,2969,6917,2237,3197,4306,3682,1925,4854,4954,39511
2012-08-03,18433,12626,10217,5143,3821,7203,2266,3621,4849,4156,2046,3924,4247,41276
2012-08-04,19272,12506,11231,5538,3629,7801,2304,3508,4979,4019,1751,4482,4998,43009
2012-08-05,16003,11093,9928,4378,2875,6565,2185,3251,4373,3469,1480,4052,4396,37024
2012-08-06,14359,10129,7906,3855,2450,5967,2087,2842,4009,3278,1530,3022,3354,32394
2012-08-07,14237,8853,9211,3924,2538,5839,1936,2679,3408,2766,1352,3636,4223,32301
2012-08-08,14908,10141,9959,3810,2623,6475,2000,2862,3967,3312,1530,3945,4484,35008
2012-08-09,16846,9842,9777,4561,3212,6790,2283,2715,4133,2994,1761,3817,4199,36465
2012-08-10,19618,13363,11100,5529,4162,7786,2141,3790,5265,4308,1859,4394,4847,44081
2012-08-11,19675,14274,11849,5284,3946,7964,2481,4445,5609,4220,1675,4812,5362,45798
2012-08-12,15647,11784,8599,3864,2702,6894,2187,3454,4772,3558,1407,3294,3898,36030
2012-08-13,15103,9529,9680,3762,2652,6670,2019,2762,3673,3094,1674,4372,3634,34312
2012-08-14,14431,10688,10378,3471,2840,6051,2069,3368,4179,3141,1622,4113,4643,35497
2012-08-15,14885,10244,9276,3902,2885,6155,1943,3143,4252,2849,1842,3478,3956,34405
2012-08-16,15667,10706,9084,4366,3353,5701,2247,2966,4426,3314,1965,3200,3919,35457
